title,actor1,actor1_fb,actor2,actor2_fb,actor3,actor3_fb
The Brothers Bloom,Zachary Gordon,975.0,Maximilian Schell,877.0,Nora Zehetner,446.0
"Synecdoche, New York",Philip Seymour Hoffman,22000.0,Jennifer Jason Leigh,1000.0,Samantha Morton,631.0
Princess Mononoke,Minnie Driver,893.0,Jada Pinkett Smith,851.0,Billy Crudup,745.0
Bon voyage,Isabelle Adjani,572.0,Peter Coyote,548.0,Virginie Ledoyen,413.0
Can't Stop the Music,Steve Guttenberg,801.0,Randy Jones,174.0,Caitlyn Jenner,161.0
The Proposition,Ray Winstone,1000.0,Noah Taylor,509.0,Danny Huston,430.0
Courage,Donny Boaz,2000.0,Finn Wittrock,769.0,Brent Anderson,400.0
Marci X,Damon Wayans,836.0,Jane Krakowski,624.0,Paula Garcés,587.0
Equilibrium,Christian Bale,23000.0,Emily Watson,876.0,Sean Pertwee,722.0
The Children of Huang Shi,Radha Mitchell,991.0,Guang Li,10.0,Matthew Walker,2.0
The Yards,Charlize Theron,9000.0,Ellen Burstyn,1000.0,Faye Dunaway,977.0
The Oogieloves in the Big Balloon Adventure,Chazz Palminteri,979.0,Garrett Clayton,532.0,Toni Braxton,231.0
By the Sea,Brad Pitt,11000.0,Angelina Jolie Pitt,11000.0,Melvil Poupaud,188.0
Steamboy,William Hootkins,488.0,Robin Atkin Downes,336.0,Rosalind Ayres,101.0
The Game of Their Lives,Gerard Butler,18000.0,Costas Mandylor,723.0,Jimmy Jean-Louis,407.0
All Good Things,Ryan Gosling,33000.0,Kirsten Dunst,4000.0,Frank Langella,902.0
Rapa Nui,Esai Morales,699.0,Jason Scott Lee,533.0,Sandrine Holt,324.0
CJ7,Jiao Xu,46.0,Yuqi Zhang,33.0,Chi Chung Lam,3.0
Les couloirs du temps: Les visiteurs II,Christian Clavier,106.0,Philippe Nahon,56.0,Marie-Anne Chazel,11.0
Dylan Dog: Dead of Night,Marco St. John,403.0,Laura Spencer,368.0,Anita Briem,311.0
People I Know,Al Pacino,14000.0,Richard Schiff,506.0,Mark Webber,442.0
The Doombolt Chase,Peter Vaughan,310.0,George Coulouris,11.0,Ewen Solon,9.0
The Tempest,Djimon Hounsou,3000.0,Reeve Carney,602.0,Tom Conti,181.0
Regression,Emma Watson,9000.0,Aaron Ashmore,750.0,Julian Richings,648.0
The Touch,Necar Zadegan,344.0,Traci Dinwiddie,281.0,Elea Oberon,51.0
Three Kingdoms: Resurrection of the Dragon,Andy Lau,483.0,Sammo Kam-Bo Hung,472.0,Andy On,60.0
Shattered,Gerard Butler,18000.0,Nicholas Lea,867.0,Callum Rennie,716.0
Zambezia,Leonard Nimoy,12000.0,Phil LaMarr,857.0,Noureen DeWulf,700.0
Ramanujan,Mani Bharathi,109.0,Michael Lieber,36.0,Kevin McGowan,7.0
Dwegons and Leprechauns,Joey D. Vieira,729.0,Maggie Wheeler,282.0,Jacqueline Lovell,53.0
Hands of Stone,Robert De Niro,22000.0,Jurnee Smollett-Bell,2000.0,Edgar Ramírez,897.0
Survivor,Milla Jovovich,14000.0,Roger Rees,1000.0,Robert Forster,889.0
The Frozen Ground,Nicolas Cage,12000.0,Radha Mitchell,991.0,Jodi Lyn O'Keefe,897.0
The Painted Veil,Toby Jones,2000.0,Sally Hawkins,594.0,Alan David,7.0
The Baader Meinhof Complex,Moritz Bleibtreu,486.0,Alexandra Maria Lara,471.0,Martina Gedeck,155.0
Dances with Wolves,Mary McDonnell,933.0,Michael Spears,839.0,Maury Chaykin,232.0
Bad Teacher,Justin Timberlake,3000.0,John Michael Higgins,957.0,Phyllis Smith,384.0
Sea of Love,Al Pacino,14000.0,Michael O'Neill,599.0,Ellen Barkin,551.0
A Cinderella Story,Dan Byrd,1000.0,Lin Shaye,852.0,Julie Gonzalo,528.0
Scream,David Arquette,611.0,W. Earl Brown,422.0,Roger Jackson,157.0
Thir13en Ghosts,Shannon Elizabeth,1000.0,Embeth Davidtz,795.0,F. Murray Abraham,670.0
The Shining,Scatman Crothers,888.0,Shelley Duvall,629.0,Joe Turkel,413.0
Back to the Future,Lea Thompson,1000.0,Thomas F. Wilson,690.0,J.J. Cohen,459.0
House on Haunted Hill,Jeffrey Combs,885.0,Peter Gallagher,828.0,Bridgette Wilson-Sampras,545.0
I Can Do Bad All by Myself,Eric Mendenhall,607.0,Mary J. Blige,269.0,Hope Olaide Wilson,256.0
Fight Valley,Kari J. Kramer,731.0,Erin O'Brien,634.0,Cabrina Collesides,319.0
The Switch,Caroline Dhavernas,544.0,Scott Elrod,449.0,Kelli Barrett,110.0
Just Married,Taran Killam,500.0,David Agranov,308.0,David Moscow,306.0
The Devil's Double,Mem Ferda,31000.0,Dominic Cooper,3000.0,Ludivine Sagnier,521.0
"Gone, Baby, Gone",Nicole 'Snooki' Polizzi,341.0,Jenni 'Jwoww' Farley,230.0,Paul 'Pauly D' DelVecchio,211.0
Thomas and the Magic Railroad,Mara Wilson,1000.0,Colm Feore,539.0,Peter Fonda,402.0
The Crazies,Radha Mitchell,991.0,Glenn Morshower,894.0,John Aylward,219.0
Spirited Away,Bunta Sugawara,17.0,Ryûnosuke Kamiki,10.0,Miyu Irino,7.0
Firestorm,Andy Lau,483.0,Michael Wong,91.0,Terence Yin,30.0
The Bounty,Liam Neeson,14000.0,Anthony Hopkins,12000.0,Laurence Olivier,1000.0
The Book Thief,Emily Watson,876.0,Sophie Nélisse,526.0,Roger Allam,326.0
Sex Drive,Katrina Bowden,948.0,Michael Cudlitz,822.0,Alice Greczyn,630.0
Leap Year,Adam Scott,3000.0,Kaitlin Olson,547.0,Dominique McElligott,356.0
The Fall of the Roman Empire,James Mason,617.0,Mel Ferrer,134.0,Stephen Boyd,102.0
Take Me Home Tonight,Topher Grace,2000.0,Michael Biehn,2000.0,Dan Fogler,562.0
Won't Back Down,Holly Hunter,1000.0,Rosie Perez,919.0,Dante Brown,505.0
The Nutcracker,Darci Kistler,2.0,Kyra Nichols,0.0,Margaret Tracey,0.0
Kansas City,Steve Buscemi,12000.0,Jennifer Jason Leigh,1000.0,Miranda Richardson,530.0
Indignation,Logan Lerman,8000.0,Sarah Gadon,691.0,Tracy Letts,85.0
The Amityville Horror,Jimmy Bennett,87000.0,Chloë Grace Moretz,17000.0,Ryan Reynolds,16000.0
Adaptation.,Nicolas Cage,12000.0,Meryl Streep,11000.0,Roger Willie,836.0
Land of the Dead,Tony Nappo,654.0,Shawn Roberts,529.0,Pedro Miguel Arce,233.0
Out of Inferno,Louis Koo,82.0,Angelica Lee,39.0,Ching Wan Lau,27.0
Fear and Loathing in Las Vegas,Johnny Depp,40000.0,Michael Jeter,693.0,Ellen Barkin,551.0
The Invention of Lying,Jennifer Garner,3000.0,Tina Fey,2000.0,Martin Starr,985.0
Neighbors,Craig Roberts,920.0,Carla Gallo,798.0,Ike Barinholtz,329.0
The Mask,Peter Greene,789.0,Amy Yasbeck,424.0,Reg E. Cathey,360.0
Big,Tom Hanks,15000.0,Jon Lovitz,11000.0,John Heard,697.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Luenell,332.0,Ken Davitian,165.0,Chester,6.0
Legally Blonde,Linda Cardellini,2000.0,Raquel Welch,788.0,Alanna Ubach,584.0
Star Trek III: The Search for Spock,Leonard Nimoy,12000.0,Nichelle Nichols,664.0,Walter Koenig,643.0
The Exorcism of Emily Rose,Tom Wilkinson,1000.0,Colm Feore,539.0,JR Bourne,457.0
Deuce Bigalow: Male Gigolo,Amy Poehler,1000.0,Eddie Griffin,489.0,Bree Turner,489.0
Left Behind,Nicolas Cage,12000.0,Lea Thompson,1000.0,Quinton Aaron,734.0
The Family Stone,Craig T. Nelson,723.0,Paul Schneider,552.0,Tyrone Giordano,172.0
Barbershop 2: Back in Business,Harry Lennix,748.0,Sean Patrick Thomas,656.0,Kenan Thompson,521.0
Bad Santa,Bernie Mac,1000.0,Tony Cox,624.0,Alex Borstein,566.0
Austin Powers: International Man of Mystery,Will Ferrell,8000.0,Charles Napier,503.0,Robert Wagner,481.0
My Big Fat Greek Wedding 2,Nia Vardalos,567.0,Louis Mandylor,312.0,Joey Fatone,261.0
Diary of a Wimpy Kid: Rodrick Rules,Zachary Gordon,975.0,Rachael Harris,569.0,Fran Kranz,557.0
Predator,Shane Black,1000.0,Bill Duke,1000.0,Carl Weathers,794.0
Amadeus,Jeffrey Jones,692.0,F. Murray Abraham,670.0,Tom Hulce,521.0
Prom Night,Ming-Na Wen,2000.0,Scott Porter,690.0,Collins Pennie,458.0
Mean Girls,Tina Fey,2000.0,Amy Poehler,1000.0,Neil Flynn,625.0
Under the Tuscan Sun,Raoul Bova,727.0,Lindsay Duncan,171.0,Mario Monicelli,148.0
Gosford Park,Kristin Scott Thomas,1000.0,Bob Balaban,559.0,Tom Hollander,555.0
The O.C.,Peter Gallagher,828.0,Melinda Clarke,787.0,Tate Donovan,650.0
Peggy Sue Got Married,Nicolas Cage,12000.0,Kathleen Turner,899.0,Joan Allen,805.0
Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,15000.0,Naomi Watts,6000.0,Merritt Wever,529.0
Blue Jasmine,Sally Hawkins,594.0,Charlie Tahan,268.0,Andrew Dice Clay,218.0
United 93,Christian Clemenson,97.0,David Alan Basche,68.0,Susan Blommaert,64.0
Honey,Christian Monzon,2000.0,Mekhi Phifer,1000.0,Romeo Miller,582.0
Spy Hard,Hulk Hogan,844.0,Barry Bostwick,456.0,Nicollette Sheridan,341.0
The Fog,Jamie Lee Curtis,2000.0,Hal Holbrook,826.0,Janet Leigh,606.0
Soul Surfer,Dennis Quaid,2000.0,Chris Brochu,795.0,Craig T. Nelson,723.0
Catch-22,Bob Newhart,643.0,Bob Balaban,559.0,Martin Balsam,191.0
Observe and Report,Collette Wolfe,390.0,Celia Weston,258.0,Dan Bakkedahl,59.0
Conan the Destroyer,Mako,691.0,Olivia d'Abo,476.0,Grace Jones,406.0
Raging Bull,Robert De Niro,22000.0,Cathy Moriarty,394.0,Frank Vincent,356.0
Love Happens,Judy Greer,2000.0,Sasha Alexander,980.0,Frances Conroy,827.0
Young Sherlock Holmes,Nicholas Rowe,155.0,Roger Ashton-Griffiths,144.0,Freddie Jones,124.0
Fame,Kelsey Grammer,808.0,Kay Panabaker,720.0,Megan Mullally,637.0
127 Hours,James Franco,11000.0,Treat Williams,642.0,Kate Burton,223.0
Small Time Crooks,Woody Allen,11000.0,Jon Lovitz,11000.0,Michael Rapaport,975.0
Center Stage,Amanda Schull,757.0,Susan May Pratt,220.0,Ethan Stiefel,111.0
Love the Coopers,Olivia Wilde,10000.0,Alex Borstein,566.0,Timothée Chalamet,85.0
Catch That Kid,Kristen Stewart,17000.0,Corbin Bleu,632.0,Kevin G. Schmidt,362.0
Life as a House,Ian Somerhalder,16000.0,Hayden Christensen,4000.0,Kristin Scott Thomas,1000.0
Steve Jobs,Kate Winslet,14000.0,Michael Fassbender,13000.0,Michael Stuhlbarg,816.0
"I Love You, Beth Cooper",Alan Ruck,946.0,Marie Avgeropoulos,800.0,Shawn Roberts,529.0
Youth in Revolt,Steve Buscemi,12000.0,Ari Graynor,904.0,Fred Willard,729.0
The Legend of the Lone Ranger,Jason Robards,372.0,Richard Farnsworth,262.0,Michael Horse,102.0
The Tailor of Panama,Daniel Radcliffe,11000.0,Jamie Lee Curtis,2000.0,Mark Margolis,1000.0
Blow Out,Nancy Allen,517.0,Dennis Franz,376.0,John McMartin,101.0
Getaway,Rebecca Budig,210.0,Paul Freeman,193.0,Bruce Payne,179.0
The Ice Storm,Joan Allen,805.0,Kate Burton,223.0,Henry Czerny,177.0
And So It Goes,Yaya DaCosta,712.0,Annie Parisse,341.0,Frankie Valli,197.0
Troop Beverly Hills,Craig T. Nelson,723.0,Shelley Long,422.0,Kellie Martin,371.0
Being Julia,Miriam Margolyes,405.0,Shaun Evans,204.0,Juliet Stevenson,202.0
9½ Weeks,David Margulies,567.0,Karen Young,67.0,Kim Chan,45.0
Dragonslayer,Ian McDiarmid,1000.0,Ralph Richardson,115.0,Albert Salmi,94.0
The Last Station,David Masterson,577.0,Kerry Condon,416.0,Anne-Marie Duff,231.0
Ed Wood,Johnny Depp,40000.0,Bill Murray,13000.0,Martin Landau,940.0
Labor Day,J.K. Simmons,24000.0,Kate Winslet,14000.0,Brooke Smith,405.0
Mongol: The Rise of Genghis Khan,Tadanobu Asano,627.0,Khulan Chuluun,12.0,Honglei Sun,9.0
RocknRolla,Tom Hardy,27000.0,Gerard Butler,18000.0,Tom Wilkinson,1000.0
Megaforce,Barry Bostwick,456.0,Michael Beck,278.0,Henry Silva,251.0
Hamlet,Julie Christie,597.0,Brian Blessed,591.0,Richard Briers,401.0
Mao's Last Dancer,Bruce Greenwood,989.0,Suzie Steen,258.0,Aden Young,238.0
Midnight Special,Kirsten Dunst,4000.0,Sam Shepard,820.0,Paul Sparks,201.0
Anything Else,Woody Allen,11000.0,Stockard Channing,944.0,Fisher Stevens,922.0
The Railway Man,Jeremy Irvine,25000.0,Colin Firth,14000.0,Sam Reid,212.0
Unforgettable,Poppy Montgomery,654.0,Dylan Walsh,426.0,Dallas Roberts,405.0
The White Ribbon,Ulrich Tukur,63.0,Burghart Klaußner,43.0,Leonie Benesch,16.0
Restoration,Zack Ward,662.0,Anna Harr,290.0,James Cullen Bressack,161.0
The Wraith,Clint Howard,1000.0,Randy Quaid,695.0,Nick Cassavetes,415.0
The Salton Sea,Adam Goldberg,1000.0,Meat Loaf,783.0,Anthony LaPaglia,576.0
Metallica Through the Never,James Hetfield,364.0,Mackenzie Gray,253.0,Lars Ulrich,151.0
The Informers,Austin Nichols,663.0,Brad Renfro,551.0,Lou Taylor Pucci,394.0
Carlos,Edgar Ramírez,897.0,Nora von Waldstätten,30.0,Katharina Schüttler,30.0
I Come with the Rain,Takuya Kimura,84.0,Simón Andreu,35.0,Shawn Yue,32.0
One Man's Hero,Tom Berenger,854.0,Joaquim de Almeida,578.0,Mark Moses,353.0
Day of the Dead,Greg Nicotero,1000.0,John Amplas,177.0,Joseph Pilato,83.0
I Am Wrath,Sam Trammell,1000.0,Rebecca De Mornay,872.0,Amanda Schull,757.0
Renaissance,Romola Garai,805.0,Catherine McCormack,306.0,Kevork Malikyan,69.0
Red Sonja,Ernie Reyes Jr.,444.0,Brigitte Nielsen,312.0,Sandahl Bergman,183.0
Red Lights,Robert De Niro,22000.0,Toby Jones,2000.0,Craig Roberts,920.0
Superbad,Emma Stone,15000.0,Joe Lo Truglio,833.0,Kevin Corrigan,778.0
Madea Goes to Jail,Vanessa Ferlito,923.0,Keshia Knight Pulliam,619.0,Derek Luke,543.0
Wolves,Jason Momoa,11000.0,Jennifer Hale,918.0,Stephen McHattie,413.0
Step Up 2: The Streets,Cassie Ventura,158.0,Mari Koda,152.0,Luis Rosado,129.0
Hoodwinked!,Anne Hathaway,11000.0,Chazz Palminteri,979.0,Jim Belushi,854.0
Hotel Rwanda,Don Cheadle,3000.0,Sophie Okonedo,460.0,Hakeem Kae-Kazim,242.0
Hitman,Henry Ian Cusick,866.0,Dougray Scott,794.0,Ulrich Thomsen,280.0
Black Nativity,Jennifer Hudson,549.0,Mary J. Blige,269.0,Vondie Curtis-Hall,170.0
The Prince,Bruce Willis,13000.0,50 Cent,1000.0,Jessica Lowndes,1000.0
City of Ghosts,Kirk Fox,109.0,Shawn Andrews,67.0,Rob Campbell,50.0
The Others,Fionnula Flanagan,482.0,Elaine Cassidy,203.0,Eric Sykes,83.0
Aliens,Michael Biehn,2000.0,Carrie Henn,626.0,Jenette Goldstein,604.0
My Fair Lady,Jeremy Brett,453.0,Rex Harrison,272.0,Theodore Bikel,244.0
I Know What You Did Last Summer,Muse Watson,45000.0,Sarah Michelle Gellar,4000.0,Anne Heche,681.0
Let's Be Cops,Rob Riggle,839.0,Damon Wayans Jr.,756.0,James D'Arcy,613.0
Sideways,Virginia Madsen,912.0,Patrick Gallagher,306.0,M.C. Gainey,284.0
Beerfest,Chris Moss,33000.0,Owain Yeoman,459.0,Jay Chandrasekhar,422.0
Halloween,Jamie Lee Curtis,2000.0,Donald Pleasence,742.0,P.J. Soles,598.0
Good Boy!,Liam Aiken,818.0,Molly Shannon,636.0,Kevin Nealon,503.0
The Best Man Holiday,Harold Perrineau,1000.0,Sanaa Lathan,886.0,Eddie Cibrian,849.0
Smokin' Aces,Ryan Reynolds,16000.0,Common,988.0,Alex Rocco,968.0
Saw 3D: The Final Chapter,Costas Mandylor,723.0,Gina Holden,346.0,Betsy Russell,298.0
40 Days and 40 Nights,Emmanuelle Vaugier,1000.0,Vinessa Shaw,580.0,Paulo Costanzo,486.0
A Night at the Roxbury,Will Ferrell,8000.0,Chris Kattan,357.0,Dan Hedaya,281.0
Beastly,Alex Pettyfer,15000.0,Mary-Kate Olsen,976.0,Erik Knudsen,583.0
The Hills Have Eyes,Dan Byrd,1000.0,Greg Nicotero,1000.0,Vinessa Shaw,580.0
Dickie Roberts: Former Child Star,Kevin Grevioux,593.0,Jenna Boyd,517.0,Mary McCormack,428.0
"McFarland, USA",Morgan Saylor,427.0,Valente Rodriguez,234.0,Diana Maria Riva,89.0
Lottery Ticket,Brandon T. Jackson,918.0,Loretta Devine,912.0,Shad Moss,826.0
ATL,T.I.,680.0,Adam Boyer,503.0,Malika,104.0
Pitch Perfect,Anna Kendrick,10000.0,Hana Mae Lee,751.0,Ben Platt,746.0
Summer Catch,Marc Blucas,973.0,Brian Dennehy,954.0,Bruce Davison,505.0
A Simple Plan,Gary Cole,989.0,Bridget Fonda,888.0,Chelcie Ross,244.0
They,Alexander Gould,1000.0,Ethan Embry,982.0,Marc Blucas,973.0
Larry the Cable Guy: Health Inspector,Thomas F. Wilson,690.0,Larry the Cable Guy,400.0,Megyn Price,323.0
The Adventures of Elmo in Grouchland,Vanessa Williams,1000.0,Kevin Clash,436.0,Caroll Spinney,142.0
Brooklyn's Finest,Don Cheadle,3000.0,Lili Taylor,960.0,Armando Riesco,625.0
55 Days at Peking,Ava Gardner,715.0,David Niven,490.0,John Ireland,86.0
Evil Dead,Lou Taylor Pucci,394.0,Elizabeth Blackmore,150.0,Ellen Sandweiss,58.0
My Life in Ruins,Nia Vardalos,567.0,Harland Williams,503.0,Rachel Dratch,399.0
American Dreamz,Judy Greer,2000.0,Dennis Quaid,2000.0,Chris Klein,841.0
Superman IV: The Quest for Peace,Jim Broadbent,1000.0,Margot Kidder,593.0,William Hootkins,488.0
How She Move,DeRay Davis,328.0,Clé Bennett,122.0,Conrad Coates,66.0
Running Scared,Paul Walker,23000.0,Chazz Palminteri,979.0,Ivana Milicevic,834.0
Bobby Jones: Stroke of Genius,Aidan Quinn,767.0,Jeremy Northam,327.0,Paul Freeman,193.0
Shanghai Surprise,Victor Wong,400.0,Paul Freeman,193.0,Clyde Kusatsu,161.0
The Illusionist,Rufus Sewell,3000.0,Eddie Marsan,979.0,Jake Wood,96.0
Roar,Tippi Hedren,634.0,Melanie Griffith,537.0,Zakes Mokae,60.0
Veronica Guerin,Brenda Fricker,214.0,David Murray,96.0,Gerard McSorley,71.0
Escobar: Paradise Lost,Josh Hutcherson,14000.0,Brady Corbet,287.0,Carlos Bardem,55.0
Southland Tales,Janeane Garofalo,1000.0,Curtis Armstrong,876.0,Chris Andrew Ciulla,215.0
Dragon Hunters,Rob Paulsen,677.0,Jess Harnell,262.0,Mary Mouser,168.0
Damnation Alley,George Peppard,669.0,Jan-Michael Vincent,642.0,Paul Winfield,255.0
The Apparition,Julianna Guill,465.0,Rick Gomez,152.0,Tim Williams,62.0
My Girl,Macaulay Culkin,3000.0,Jamie Lee Curtis,2000.0,Griffin Dunne,165.0
Fur: An Imaginary Portrait of Diane Arbus,Robert Downey Jr.,21000.0,Ty Burrell,3000.0,Matt Servitto,260.0
Wall Street,Hal Holbrook,826.0,Tamara Tunie,508.0,James Karen,168.0
Sense and Sensibility,Alan Rickman,25000.0,Kate Winslet,14000.0,Tom Wilkinson,1000.0
Becoming Jane,Anne Hathaway,11000.0,Julie Walters,838.0,Laurence Fox,281.0
Sydney White,Danny Strong,714.0,Matt Long,701.0,Samm Levine,433.0
House of Sand and Fog,Frances Fisher,638.0,Kim Dickens,624.0,Ron Eldard,385.0
Dead Poets Society,Robin Williams,49000.0,Josh Charles,1000.0,Kurtwood Smith,1000.0
Dumb & Dumber,Lauren Holly,879.0,Mike Starr,854.0,Teri Garr,481.0
When Harry Met Sally...,Bruno Kirby,227.0,Gretchen Palmer,73.0,Harley Jane Kozak,62.0
The Verdict,Charlotte Rampling,844.0,James Mason,617.0,Jack Warden,359.0
Road Trip,Ethan Suplee,1000.0,Rachel Blanchard,490.0,Paulo Costanzo,486.0
Varsity Blues,Paul Walker,23000.0,Ron Lester,255.0,Mark Walters,35.0
The Artist,Bérénice Bejo,996.0,Ed Lauter,897.0,Beth Grant,628.0
The Unborn,Gary Oldman,10000.0,Atticus Shaffer,787.0,Rachel Brosnahan,389.0
Moonrise Kingdom,Bruce Willis,13000.0,Bill Murray,13000.0,Bob Balaban,559.0
The Texas Chainsaw Massacre: The Beginning,Matt Bomer,20000.0,Jordana Brewster,4000.0,Lew Temple,597.0
The Young Messiah,Clive Russell,241.0,Vincent Walsh,118.0,Finn Ireland,107.0
The Master of Disguise,Jennifer Esposito,911.0,Kenan Thompson,521.0,James Brolin,499.0
Pan's Labyrinth,Ivana Baquero,634.0,Maribel Verdú,269.0,Sergi López,250.0
The Messengers,Joel Courtney,1000.0,Jessika Van,921.0,Riley Smith,762.0
See Spot Run,Leslie Bibb,1000.0,Angus T. Jones,1000.0,Paul Sorvino,635.0
Baby Boy,Mo'Nique,939.0,Snoop Dogg,881.0,Angell Conwell,522.0
The Roommate,Leighton Meester,3000.0,Danneel Ackles,1000.0,Frances Fisher,638.0
Joe Dirt,Brittany Daniel,861.0,Erik Per Sullivan,593.0,Fred Ward,459.0
Double Impact,Bolo Yeung,633.0,Alonna Shaw,67.0,Kamel Krifa,51.0
Hot Fuzz,Bill Bailey,175.0,Joe Cornish,115.0,Billie Whitelaw,108.0
The Women,Jada Pinkett Smith,851.0,Debi Mazar,680.0,Debra Messing,650.0
Vicky Cristina Barcelona,Scarlett Johansson,19000.0,Kevin Dunn,581.0,Christopher Evan Welch,252.0
Arn: The Knight Templar,Gustaf Skarsgård,908.0,Michael Nyqvist,690.0,Vincent Perez,292.0
Boys and Girls,Alyson Hannigan,3000.0,Amanda Detmer,240.0,Tsianina Joelson,95.0
White Oleander,Patrick Fugit,835.0,Cole Hauser,787.0,Marc Donato,450.0
Jennifer's Body,J.K. Simmons,24000.0,Amy Sedaris,396.0,Cynthia Stevenson,271.0
Drowning Mona,Will Ferrell,8000.0,Jamie Lee Curtis,2000.0,Tracey Walter,324.0
Radio Days,Mike Starr,854.0,Don Pardo,410.0,Julie Kavner,233.0
Remember Me,Robert Pattinson,21000.0,Lena Olin,541.0,Ruby Jerins,238.0
How to Deal,Dylan Baker,812.0,Alexandra Holden,326.0,Trent Ford,258.0
My Stepmother Is an Alien,Jon Lovitz,11000.0,Alyson Hannigan,3000.0,Tony Jay,384.0
Philadelphia,Denzel Washington,18000.0,Tom Hanks,15000.0,Jason Robards,372.0
The Thirteenth Floor,Gretchen Mol,599.0,Craig Bierko,380.0,Brad William Henke,363.0
The Cookout,Farrah Fawcett,1000.0,Vincent Pastore,584.0,Jenifer Lewis,578.0
Meteor,Martin Landau,940.0,Karl Malden,416.0,Brian Keith,316.0
Duets,Lochlyn Munro,555.0,Marian Seldes,403.0,Huey Lewis,215.0
Hollywood Ending,Woody Allen,11000.0,Debra Messing,650.0,Treat Williams,642.0
Detroit Rock City,Natasha Lyonne,1000.0,Lin Shaye,852.0,Shannon Tweed,322.0
Highlander,Christopher Lambert,1000.0,Jon Polito,309.0,Celia Imrie,186.0
Things We Lost in the Fire,Alison Lohman,1000.0,Omar Benson Miller,418.0,Robin Weigert,295.0
Steel,Charles Napier,503.0,Annabeth Gish,489.0,Hill Harper,465.0
The Immigrant,Jeremy Renner,10000.0,Dagmara Dominczyk,316.0,Angela Sarafyan,310.0
The White Countess,Vanessa Redgrave,898.0,Natasha Richardson,708.0,Lynn Redgrave,258.0
Trance,Rosario Dawson,3000.0,Spencer Wilding,1000.0,Tuppence Middleton,888.0
Soul Plane,Mo'Nique,939.0,Snoop Dogg,881.0,Tom Arnold,618.0
Welcome to the Sticks,Dany Boon,172.0,Kad Merad,55.0,Michel Galabru,27.0
Good,Viggo Mortensen,10000.0,Jodie Whittaker,304.0,Steven Mackintosh,227.0
Enter the Void,Paz de la Huerta,488.0,Emily Alyn Lind,289.0,Olly Alexander,116.0
Vamps,Taylor Negron,1000.0,Justin Kirk,945.0,Ivan Sergei,613.0
Hachi: A Dog's Tale,Cary-Hiroyuki Tagawa,1000.0,Sarah Roemer,884.0,Joan Allen,805.0
Zulu,Orlando Bloom,5000.0,Tanya van Graan,170.0,Conrad Kemp,44.0
The Homesman,Barry Corbin,883.0,Tim Blake Nelson,596.0,Miranda Otto,567.0
Juwanna Mann,Vivica A. Fox,890.0,Jenifer Lewis,578.0,Kevin Pollak,574.0
Lilyhammer,Steven Van Zandt,422.0,Trond Fausa,57.0,Tommy Karlsen,15.0
Ararat,David Alpay,232.0,Marie-Josée Croze,150.0,Charles Aznavour,125.0
Madison,Bruce Dern,844.0,Jake Lloyd,626.0,William Shockley,518.0
Slow Burn,Mekhi Phifer,1000.0,LL Cool J,1000.0,Fisher Stevens,922.0
Wasabi,Carole Bouquet,235.0,Ryôko Hirosue,46.0,Michel Muller,17.0
Slither,Dustin Milligan,499.0,Gregg Henry,298.0,Tania Saulnier,102.0
Beverly Hills Cop,Judge Reinhold,901.0,Ronny Cox,605.0,James Russo,383.0
Home Alone,Macaulay Culkin,3000.0,Devin Ratray,1000.0,Catherine O'Hara,925.0
3 Men and a Baby,Tom Selleck,19000.0,Ted Danson,875.0,Steve Guttenberg,801.0
Tootsie,Bill Murray,13000.0,Sydney Pollack,521.0,Teri Garr,481.0
Top Gun,Tom Cruise,10000.0,Tom Skerritt,1000.0,Adrian Pasdar,555.0
"Crouching Tiger, Hidden Dragon",Chen Chang,103.0,Pei-Pei Cheng,21.0,Sihung Lung,5.0
American Beauty,Kevin Spacey,18000.0,Peter Gallagher,828.0,Ara Celi,158.0
The King's Speech,Colin Firth,14000.0,Jennifer Ehle,1000.0,Derek Jacobi,520.0
Twins,Kelly Preston,742.0,Tony Jay,384.0,Hugh O'Brian,247.0
Scream: The TV Series,Bex Taylor-Klaus,460.0,Bobby Campo,292.0,Jason Wiles,260.0
The Yellow Handkerchief,Kristen Stewart,17000.0,Eddie Redmayne,13000.0,William Hurt,882.0
The Color Purple,Oprah Winfrey,852.0,Rae Dawn Chong,581.0,Dana Ivey,271.0
Tidal Wave,Nicole Dionne,94.0,Ji-won Ha,80.0,Kyung-gu Sol,13.0
The Imitation Game,Benedict Cumberbatch,19000.0,Rory Kinnear,393.0,Allen Leech,305.0
Private Benjamin,Eileen Brennan,1000.0,Albert Brooks,745.0,Alan Oppenheimer,271.0
Coal Miner's Daughter,Sissy Spacek,874.0,Beverly D'Angelo,816.0,Levon Helm,572.0
Diary of a Wimpy Kid,Chloë Grace Moretz,17000.0,Zachary Gordon,975.0,Rachael Harris,569.0
Mama,Javier Botet,1000.0,Megan Charpentier,340.0,Isabelle Nélisse,250.0
National Lampoon's Vacation,Beverly D'Angelo,816.0,Randy Quaid,695.0,Jane Krakowski,624.0
Bad Grandpa,Jackson Nicoll,925.0,Georgina Cates,38.0,Grasie Mercedes,27.0
The Queen,Roger Allam,326.0,Sylvia Syms,48.0,Alex Jennings,39.0
Beetlejuice,Catherine O'Hara,925.0,Jeffrey Jones,692.0,Glenn Shadix,217.0
